Entity,Code,Year,Oil - Proved reserves
Africa,,1980,53436518000
Africa,,1981,56281772000
Africa,,1982,58270780000
Africa,,1983,58038758000
Africa,,1984,57766581000
Africa,,1985,57037383330
Africa,,1986,57966056670
Africa,,1987,58663580000
Africa,,1988,58996753330
Africa,,1989,59086526670
Africa,,1990,58725810000
Africa,,1991,60371982330
Africa,,1992,61079080670
Africa,,1993,61233073000
Africa,,1994,65008346000
Africa,,1995,71952928000
Africa,,1996,74932238000
Africa,,1997,75258786000
Africa,,1998,77172286000
Africa,,1999,84719524000
Africa,,2000,92904433000
Africa,,2001,96607551000
Africa,,2002,101601438000
Africa,,2003,106524338000
Africa,,2004,107902838000
Africa,,2005,111748997000
Africa,,2006,117579526000
Africa,,2007,120038074000
Africa,,2008,120751290000
Africa,,2009,122973490000
Africa,,2010,124948122000
Africa,,2011,124622022000
Africa,,2012,127369112000
Africa,,2013,127521412000
Africa,,2014,126756648700
Africa,,2015,127627975300
Africa,,2016,127881572000
Africa,,2017,126617971000
Africa,,2018,125706370100
Africa,,2019,125027883900
Africa,,2020,125111950100
Algeria,DZA,1980,8199999999.999999
Algeria,DZA,1981,8080000000
Algeria,DZA,1982,9440000000
Algeria,DZA,1983,9220000000
Algeria,DZA,1984,9000000000
Algeria,DZA,1985,8820000000
Algeria,DZA,1986,8800000000
Algeria,DZA,1987,8564000000
Algeria,DZA,1988,9200000000
Algeria,DZA,1989,9236000000
Algeria,DZA,1990,9200000000
Algeria,DZA,1991,9200000000
Algeria,DZA,1992,9200000000
Algeria,DZA,1993,9200000000
Algeria,DZA,1994,9979000000
Algeria,DZA,1995,9979000000
Algeria,DZA,1996,10800000000
Algeria,DZA,1997,11200000000
Algeria,DZA,1998,11314000000
Algeria,DZA,1999,11314000000
Algeria,DZA,2000,11314000000
Algeria,DZA,2001,11314000000
Algeria,DZA,2002,11314000000
Algeria,DZA,2003,11800000000
Algeria,DZA,2004,11800000000
Algeria,DZA,2005,12270000000
Algeria,DZA,2006,12270000000
Algeria,DZA,2007,12200000000
Algeria,DZA,2008,12200000000
Algeria,DZA,2009,12200000000
Algeria,DZA,2010,12200000000
Algeria,DZA,2011,12200000000
Algeria,DZA,2012,12200000000
Algeria,DZA,2013,12200000000
Algeria,DZA,2014,12200000000
Algeria,DZA,2015,12200000000
Algeria,DZA,2016,12200000000
Algeria,DZA,2017,12200000000
Algeria,DZA,2018,12200000000
Algeria,DZA,2019,12200000000
Algeria,DZA,2020,12200000000
Angola,AGO,1980,1375000000
Angola,AGO,1981,1108000000
Angola,AGO,1982,1457000000
Angola,AGO,1983,1715000000
Angola,AGO,1984,2146999999.9999998
Angola,AGO,1985,2017999999.9999998
Angola,AGO,1986,1400000000
Angola,AGO,1987,2000000000
Angola,AGO,1988,2000000000
Angola,AGO,1989,2073999999.9999998
Angola,AGO,1990,1625000000
Angola,AGO,1991,1450000000
Angola,AGO,1992,1334000000
Angola,AGO,1993,1901000000
Angola,AGO,1994,2965000000
Angola,AGO,1995,3125000000
Angola,AGO,1996,3695000000
Angola,AGO,1997,3900000000
Angola,AGO,1998,4030000000.0000005
Angola,AGO,1999,5050000000
Angola,AGO,2000,5972000000
Angola,AGO,2001,6500000000
Angola,AGO,2002,8900000000
Angola,AGO,2003,8801000000
Angola,AGO,2004,9035000000
Angola,AGO,2005,9050000000
Angola,AGO,2006,9330000000
Angola,AGO,2007,9500000000
Angola,AGO,2008,9500000000
Angola,AGO,2009,9500000000
Angola,AGO,2010,9055000000
